Latitude (decimal degrees):	46.025
Longitude (decimal degrees):	11.126
Radiation database:	PVGIS-SARAH3
Optimal slope angle (deg.):	40

year		month		H(h)_m		H(i_opt)_m		H(i)_m		Hb(n)_m		Kd
2005		Jan		55.14		114.27		113.93		107.29		0.35
2005		Feb		74.09		124.07		123.82		109.27		0.37
2005		Mar		119.47		166.17		166.03		142.09		0.36
2005		Apr		122.29		136.1		136.19		101.21		0.46
2005		May		180.07		183.03		183.31		148.21		0.4
2005		Jun		195.2		186.86		187.25		159.96		0.4
2005		Jul		195.25		192.29		192.64		164.46		0.38
2005		Aug		147.7		156.36		156.53		118.32		0.45
2005		Sep		118.25		145.0		144.99		108.75		0.44
2005		Oct		74.48		110.03		109.89		85.41		0.48
2005		Nov		54.81		106.21		105.92		98.32		0.38
2005		Dec		36.72		72.62		72.41		61.21		0.49
2006		Jan		50.4		104.51		104.19		101.48		0.34
2006		Feb		60.49		100.92		100.72		87.61		0.42
2006		Mar		111.58		149.35		149.26		121.91		0.4
2006		Apr		120.93		131.56		131.66		89.52		0.53
2006		May		141.6		138.83		139.05		85.27		0.58
2006		Jun		197.81		187.86		188.25		154.67		0.44
2006		Jul		191.62		188.2		188.54		156.38		0.41
2006		Aug		141.92		150.4		150.55		100.21		0.52
2006		Sep		127.0		157.14		157.12		122.85		0.41
2006		Oct		78.29		117.22		117.05		94.97		0.44
2006		Nov		58.27		109.59		109.31		100.23		0.39
2006		Dec		37.72		78.94		78.69		71.62		0.43
2007		Jan		48.04		95.11		94.84		87.65		0.4
2007		Feb		66.66		106.66		106.47		89.18		0.44
2007		Mar		102.85		136.58		136.49		105.01		0.46
2007		Apr		156.88		176.55		176.66		139.3		0.42
2007		May		154.49		153.69		153.93		108.4		0.5
2007		Jun		154.25		143.1		143.41		101.11		0.55
2007		Jul		194.32		190.05		190.4		160.56		0.41
2007		Aug		143.07		149.14		149.31		107.73		0.49
2007		Sep		121.78		150.08		150.07		117.5		0.42
2007		Oct		89.5		133.26		133.08		108.79		0.42
2007		Nov		58.96		112.0		111.7		102.29		0.38
2007		Dec		42.9		93.5		93.2		88.74		0.38
2008		Jan		35.86		64.32		64.17		55.3		0.49
2008		Feb		83.86		145.49		145.18		139.99		0.28
2008		Mar		100.88		132.02		131.95		102.9		0.43
2008		Apr		115.89		124.29		124.4		74.86		0.58
2008		May		145.67		144.92		145.14		94.5		0.54
2008		Jun		155.88		147.01		147.31		107.66		0.5
2008		Jul		180.55		176.12		176.43		132.96		0.47
2008		Aug		160.2		170.88		171.05		125.2		0.47
2008		Sep		106.78		127.26		127.27		85.46		0.52
2008		Oct		82.8		123.16		123.0		100.24		0.42
2008		Nov		43.8		75.39		75.22		60.88		0.52
2008		Dec		34.05		62.83		62.66		49.04		0.57
2009		Jan		38.54		71.87		71.68		61.93		0.47
2009		Feb		73.06		121.91		121.68		111.32		0.34
2009		Mar		115.67		156.02		155.91		133.49		0.38
2009		Apr		113.8		125.98		126.07		90.48		0.49
2009		May		178.9		178.82		179.1		133.12		0.47
2009		Jun		177.82		166.99		167.35		129.01		0.49
2009		Jul		176.73		171.27		171.58		128.64		0.49
2009		Aug		161.49		175.19		175.35		138.67		0.42
2009		Sep		110.71		133.5		133.5		95.08		0.49
2009		Oct		90.44		135.3		135.11		108.51		0.44
2009		Nov		44.36		78.19		78.01		65.09		0.5
2009		Dec		35.24		69.21		69.02		59.81		0.5
2010		Jan		49.8		95.77		95.51		86.69		0.41
2010		Feb		61.15		95.84		95.68		77.01		0.49
2010		Mar		107.79		142.78		142.69		112.3		0.45
2010		Apr		138.86		154.05		154.15		115.57		0.47
2010		May		138.02		133.69		133.92		87.66		0.55
2010		Jun		168.74		160.17		160.49		118.39		0.49
2010		Jul		193.32		190.02		190.36		152.81		0.42
2010		Aug		148.43		157.03		157.2		111.94		0.49
2010		Sep		112.07		138.46		138.44		103.71		0.45
2010		Oct		71.2		104.39		104.26		80.75		0.48
2010		Nov		37.61		58.51		58.41		41.79		0.6
2010		Dec		33.37		63.82		63.64		53.1		0.52
2011		Jan		48.54		96.69		96.42		89.27		0.39
2011		Feb		68.48		115.72		115.49		104.82		0.36
2011		Mar		112.58		150.79		150.69		125.99		0.4
2011		Apr		150.01		170.43		170.52		133.84		0.43
2011		May		181.11		181.32		181.61		147.42		0.43
2011		Jun		141.95		132.28		132.56		89.56		0.55
2011		Jul		169.78		164.47		164.77		119.37		0.49
2011		Aug		171.75		186.01		186.18		152.87		0.4
2011		Sep		124.08		156.97		156.93		124.5		0.4
2011		Oct		98.24		153.25		153.01		134.09		0.35
2011		Nov		57.04		115.51		115.18		110.07		0.34
2011		Dec		36.6		71.5		71.3		60.86		0.51
