Date/Hour	WS [m/s]	WD [°N]
01-01-23 00:00	4.7	95
01-01-23 00:10	3.1	89
01-01-23 00:20	0.3	130
01-01-23 00:30	3.4	105
01-01-23 00:40	3.6	0
01-01-23 00:50	4.7	79
01-01-23 01:00	1.0	141
01-01-23 01:10	3.0	0
01-01-23 01:20	0.5	6
01-01-23 01:30	4.1	0
01-01-23 01:40	2.8	174
01-01-23 01:50	4.6	182
01-01-23 02:00	3.9	136
01-01-23 02:10	2.9	341
01-01-23 02:20	1.9	170
01-01-23 02:30	0.5	307
01-01-23 02:40	4.3	147
01-01-23 02:50	1.6	335
01-01-23 03:00	3.9	335
01-01-23 03:10	4.6	334
01-01-23 03:20	3.8	334
01-01-23 03:30	1.0	108
01-01-23 03:40	2.8	325
01-01-23 03:50	1.6	320
01-01-23 04:00	5.4	334
01-01-23 04:10	1.1	315
01-01-23 04:20	2.7	128
01-01-23 04:30	0.6	307
01-01-23 04:40	0.9	51
01-01-23 04:50	2.2	160
01-01-23 05:00	2.5	290
01-01-23 05:10	1.2	324
01-01-23 05:20	0.9	345
01-01-23 05:30	1.2	180
01-01-23 05:40	1.7	312
01-01-23 05:50	4.9	314
01-01-23 06:00	5.9	323
01-01-23 06:10	1.0	319
01-01-23 06:20	3.9	329
01-01-23 06:30	5.1	167
01-01-23 06:40	3.2	171
01-01-23 06:50	1.3	138
01-01-23 07:00	1.7	20
01-01-23 07:10	0.7	307
01-01-23 07:20	4.8	183
01-01-23 07:30	1.5	160
01-01-23 07:40	1.9	326
01-01-23 07:50	4.7	301
01-01-23 08:00	1.7	299
01-01-23 08:10	3.1	145
01-01-23 08:20	0.7	179
01-01-23 08:30	0.0	0
01-01-23 08:40	0.2	343
01-01-23 08:50	3.1	171
01-01-23 09:00	1.6	311
01-01-23 09:10	2.5	343
01-01-23 09:20	3.4	357
01-01-23 09:30	1.1	317
01-01-23 09:40	2.6	308
01-01-23 09:50	0.2	310
01-01-23 10:00	3.4	310
01-01-23 10:10	2.2	334
01-01-23 10:20	3.5	342
01-01-23 10:30	2.9	340
01-01-23 10:40	2.7	126
01-01-23 10:50	2.4	148
01-01-23 11:00	0.2	110
01-01-23 11:10	2.5	167
01-01-23 11:20	1.3	147
01-01-23 11:30	1.2	128
01-01-23 11:40	3.0	146
01-01-23 11:50	1.9	113
01-01-23 12:00	5.2	166
01-01-23 12:10	2.0	135
01-01-23 12:20	2.2	130
01-01-23 12:30	2.8	114
01-01-23 12:40	2.5	119
01-01-23 12:50	3.4	130
01-01-23 13:00	0.4	134
01-01-23 13:10	3.3	131
01-01-23 13:20	3.2	124
01-01-23 13:30	3.0	133
01-01-23 13:40	0.8	122
01-01-23 13:50	2.0	130
01-01-23 14:00	2.0	142
01-01-23 14:10	4.5	132
01-01-23 14:20	2.1	166
01-01-23 14:30	3.1	147
01-01-23 14:40	4.1	178
01-01-23 14:50	0.4	193
01-01-23 15:00	2.9	128
01-01-23 15:10	0.4	76
01-01-23 15:20	1.2	112
01-01-23 15:30	2.2	166
01-01-23 15:40	2.6	123
01-01-23 15:50	0.9	60
01-01-23 16:00	2.3	325
01-01-23 16:10	2.3	150
01-01-23 16:20	2.1	177
01-01-23 16:30	2.2	131
01-01-23 16:40	1.2	346
01-01-23 16:50	0.8	143
01-01-23 17:00	4.5	3
01-01-23 17:10	2.6	28
01-01-23 17:20	2.1	310
01-01-23 17:30	2.0	319
01-01-23 17:40	3.8	319
01-01-23 17:50	4.8	323
01-01-23 18:00	3.2	334
01-01-23 18:10	1.3	0
01-01-23 18:20	2.5	97
01-01-23 18:30	1.0	56
01-01-23 18:40	1.1	330
01-01-23 18:50	1.8	345
01-01-23 19:00	0.5	331
01-01-23 19:10	1.0	1
01-01-23 19:20	2.1	284
01-01-23 19:30	2.1	353
01-01-23 19:40	1.1	327
01-01-23 19:50	3.7	324
01-01-23 20:00	3.6	320
01-01-23 20:10	3.1	271
01-01-23 20:20	1.6	168
01-01-23 20:30	3.8	336
01-01-23 20:40	4.3	313
01-01-23 20:50	4.0	327
01-01-23 21:00	3.1	325
01-01-23 21:10	3.0	326
01-01-23 21:20	2.2	297
01-01-23 21:30	2.7	326
01-01-23 21:40	1.0	332
01-01-23 21:50	3.8	332
01-01-23 22:00	5.8	329
01-01-23 22:10	3.5	335
01-01-23 22:20	4.6	339
01-01-23 22:30	4.2	321
01-01-23 22:40	5.6	328
01-01-23 22:50	7.2	323
01-01-23 23:00	4.4	319
01-01-23 23:10	5.5	327
01-01-23 23:20	5.3	312
01-01-23 23:30	3.2	318
01-01-23 23:40	4.5	325
01-01-23 23:50	3.0	316
02-01-23 00:00	1.5	311
02-01-23 00:10	3.7	314
02-01-23 00:20	2.9	319
02-01-23 00:30	5.1	324
02-01-23 00:40	6.1	318
02-01-23 00:50	5.1	327
02-01-23 01:00	1.1	306
02-01-23 01:10	2.3	324
02-01-23 01:20	4.7	315
02-01-23 01:30	3.1	327
02-01-23 01:40	6.1	326
02-01-23 01:50	4.0	324
02-01-23 02:00	3.2	326
02-01-23 02:10	0.8	315
02-01-23 02:20	1.9	332
02-01-23 02:30	3.2	327
02-01-23 02:40	2.5	329
02-01-23 02:50	1.1	339
02-01-23 03:00	0.8	333
02-01-23 03:10	2.1	325
02-01-23 03:20	2.0	82
02-01-23 03:30	0.8	355
02-01-23 03:40	1.7	332
02-01-23 03:50	2.9	324
02-01-23 04:00	1.7	323
02-01-23 04:10	3.6	316
02-01-23 04:20	3.1	320
02-01-23 04:30	5.4	324
02-01-23 04:40	6.2	321
02-01-23 04:50	3.8	323
02-01-23 05:00	7.3	313
02-01-23 05:10	5.9	314
02-01-23 05:20	4.1	318
02-01-23 05:30	4.9	315
02-01-23 05:40	5.4	317
02-01-23 05:50	2.5	323
02-01-23 06:00	4.7	319
02-01-23 06:10	3.3	320
02-01-23 06:20	2.9	307
02-01-23 06:30	3.4	324
02-01-23 06:40	3.0	319
02-01-23 06:50	1.5	311
02-01-23 07:00	2.0	310
02-01-23 07:10	1.8	307
02-01-23 07:20	5.9	322
02-01-23 07:30	0.0	45
02-01-23 07:40	3.4	313
02-01-23 07:50	3.2	316
02-01-23 08:00	3.7	319
02-01-23 08:10	2.8	309
02-01-23 08:20	4.2	301
02-01-23 08:30	1.9	118
02-01-23 08:40	2.3	321
02-01-23 08:50	0.7	325
02-01-23 09:00	2.3	140
02-01-23 09:10	3.0	329
02-01-23 09:20	1.6	136
02-01-23 09:30	2.6	118
02-01-23 09:40	1.5	149
02-01-23 09:50	3.9	145
02-01-23 10:00	0.9	24
02-01-23 10:10	2.2	131
02-01-23 10:20	2.2	318
02-01-23 10:30	3.4	341
02-01-23 10:40	2.1	146
02-01-23 10:50	2.0	140
02-01-23 11:00	0.6	178
02-01-23 11:10	1.2	134
02-01-23 11:20	3.6	145
02-01-23 11:30	1.1	141
